"MUNIC_RES","ANO","POPULACAO"
"2408508","2021",4813
"2408607","2021",4298
"2408706","2021",3732
"2408805","2021",5307
"2408904","2021",21611
"2408953","2021",10961
"2409100","2021",13667
"2409209","2021",3114
"2409308","2021",12861
"2409332","2021",5689
"2409407","2021",30802
"2409506","2021",3163
"2409605","2021",2419
"2409704","2021",6591
"2409803","2021",14881
"2409902","2021",15411
"2410009","2021",3900
"2410108","2021",15646
"2410207","2021",7944
"2410256","2021",6605
"2410306","2021",10646
"2410405","2021",9825
"2410504","2021",5158
"2410603","2021",3214
"2410702","2021",3648
"2410801","2021",4194
"2410900","2021",8310
"2411007","2021",4457
"2411056","2021",4173
"2411106","2021",3584
"2411205","2021",40295
"2411403","2021",11808
"2411429","2021",2699
"2411502","2021",24422
"2411601","2021",2687
"2411700","2021",4541
"2411809","2021",3606
"2411908","2021",4281
"2412005","2021",104919
"2412104","2021",6221
"2412203","2021",44566
"2412302","2021",12901
"2412401","2021",4696
"2412500","2021",23789
"2412559","2021",10441
"2412609","2021",17858
"2412708","2021",5889
"2412807","2021",8183
"2412906","2021",11051
"2413003","2021",6476
"2413102","2021",6167
"2413201","2021",4527
"2413300","2021",5739
"2413359","2021",12225
"2413409","2021",8105
"2413508","2021",6128
"2413557","2021",4832
"2413607","2021",1743
"2413706","2021",5600
"2413805","2021",2606
"2413904","2021",12314
"2414001","2021",16008
"2414100","2021",10923
"2414159","2021",6085
"2414209","2021",14694
"2414308","2021",2427
"2414407","2021",33716
"2414456","2021",3195
"2414506","2021",10485
"2414605","2021",14937
"2414704","2021",5529
"2414753","2021",4232
"2414803","2021",12789
"2414902","2021",1731
"2415008","2021",3217
"2500106","2021",10375
"2500205","2021",5622
"2500304","2021",28384
"2500403","2021",20992
"2500502","2021",14629
"2500536","2021",5527
"2500577","2021",2588
"2500601","2021",19865
"2500700","2021",18020
"2500734","2021",2264
"2500775","2021",8482
"2500809","2021",16857
"2500908","2021",13613
"2501005","2021",20610
